0,English (United States),Chinese (Traditional),Chinese (Simplified),Japanese,French,Italian,German,Spanish,Korean,Thai,indonesian,Portuguese (Brazil),Russian,Vietnamese,Polish,Turkish
aether,Ather,男孩,男孩,男主人公,Ézeur,Ethereh,Äther,Canon,남행자,ลุงไนท์,Budi,Garoto,Итр,Trùm Harem,Ather,Atar
albedo,Susbedo,粉筆人,粉笔人,首席錬金術師,Susbedo,Susbedo,Susbedo,Alfredo,짭베도,เฮียอัล,Albudi,Susbedo,Сусбельдо,Súbedo,Susbedo,Kimyabedo
alhaitham,Muscle Nerd,肌肉書呆子,肌肉书呆子,筋肉オタク,Intello musclé,Nerd muscolare,Muskel-Nerd,Lector compulsivo,적왕,เนิร์ดกล้าม,Ilham,Musculoso Nerd,Накаченный Ботан,Mọt sách,Muscle Nerd,Kaslı Kâtip
aloy,Junkmail,垃圾郵件,垃圾邮件,迷惑メール,À l'huile,Spam,Spam,La exclusiva olvidada,스팸 메일,ใครวะ,Alay,junkmail,Спам,Zelda,Ejloj,Halay
amber,Ambur,火兔,火兔,飛行チャンピオン,Ambeurre,Ambra,Ambär,Mechero,여심폭격기,แอมเบ๋อออ,Ambar,Ambur,Амбар,Ambủh,Ambrr,Tuborg Amber
ayaka,Ayaya,冰公主,冰公主,アイスプリンセス,Ayaya,Ayaya,Ayaya,Ayaya,대포복어,อายาย่าา~,Yani,Ayaya,Aйайа,Ayaya,Ayaya,Ayak
ayato,Bobbaman,帥哥,帅哥,タピオカ君,Ayathé,Boba tè,Bobamann,Clasista ,버블티 도련님,อายาตูด,Yanto Pop es,homem froozem,Бобамен,Trà sữa man,Bobbaman,Bayato
baizhu,Dr Snek,蛇医生,蛇醫生,ドクター・スネーク,Langue de Serpent,Dottor Serpente,Doktor Schlange,doctora serpiente,플블 판탈로네,หมองู,Bakrie Tongpang,doutor cobra,Одноглазая Анаконда,Dr. Bất tử,Dr House,Doktor Tıss
barbara,Babs,小偶像,小偶像,アイドル,Babybel,Barbie,Barbruh,Barbruh,아이도루,บาบาเรี่ยน,Bambang,barba,Бебра,Idol tóp tóp,Babs,Berber
beidou,Baedou,大姐頭,大姐头,姉貴,NO U,Pirata,Baedou,BaeDOU,북두칠성,เจ้เป่ย,Emak,Baedou,Бедоу,Người lái đò,Baedou,Korsan Abla
bennett,Benedict,倒霉的男孩,倒霉的男孩,不幸体質,Benêt,Benedetto,Benedikt,Benito,불의 신 대행,สบู่,Bento,sortudo? nunca,Бенедикт ,Đá thủ,Benedict,Bahtsız Bedevi
candace,Candeez,盾女,盾女,砂漠の盾,Candy,Papyrus,Candeez,La compro disney,사탕,ดวงตาพันปี,Gendis,Candeez,Кэнди,Candêz,Candeez,Van Kedisi
chongyun,Brainfreeze,冰棍兒,冰棍儿,アイスボーイ,Tête froide,Brainfreeze,Gehirnfrost,Bing chillin,얼죽아,น้องไอติม,Ucok,picole azul,Фруктовый лёд ,Bing chilling,Brainfreeze,Çongus
collei,Colliflowa,顆菜,颗菜,芽生え,Chou-Flei,Lattuga,Collrabi,Supere el eleazar,브로콜레이,คอนเน่,Brocollei,Colliflowa,Колени,Cô Lây,Colliflowa,Colledelen
cyno,Yugino,遊戲王,游戏王,聖金虫捕手,Yu-Gi-No,Yu-Gi-No,Yugino,Don comedia,5성 레이저,เจ้าหน้าทึ่มมหามาตรา,Seno Marseno Brontoseno,Yugino,Сено,Yugino,Yugino,Karabaş
dehya,6-Pack Cat,6塊腹肌的貓女,6块腹肌的猫女,腹筋6パックの猫娘,Felinferna,gatto forte,Starke katze,gato fuerte,제2의 감동,แมวกล้าม,Gudang Garam,gato forte,Дохрена,Mèo Lửa,Sześciopak,Deh
diluc,Batman,老爺,老爷,赤髪の童顔,Batman,Batman,Batman,El señor de la noche,다크히어로,อัศวินรัตติกาล,Fajar Betmen,batman vermlho ,Бэтмен,Bát Man,Batman,Batman
diona,Diano,三色貓孩,三色猫孩,酒嫌いのねこ娘,Ona !,Diana,Diano,Gata rompehogares,벤티 카운터,ดีโอ้!,Dinamo,gatinha dos sucos,Диана,Diana,Dio An,Pss pss pss
dori,Door,愛錢,爱钱,モラ,Némo,Mastrolinda,Door,Estafadora,니모,แม่ค้าหน้าเลือด,Doriemon,Door,Дверь,Scammer,Door,Doyumsuz
eula,Vengeance,復仇,复仇,復讐の騎士,Vengeance,Vendetta,Rache,Me vengo,탭댄서,เจ้แน่นมาก ๆ,Aulia,pobre,Эбола,Skadi,Vengeance,Ulan
faruzan,Teach,老師,老师,先輩,Faritas,Prof,Lehrerin,Abuelita,젊꼰,ป้าโซตัส,Bu Dosen,hatsuno miku ,Хатсуне Мику,Miku shopee,Miku,Faruk
fischl,Purple Chicken,烏鴉發射器,乌鸦发射器,喋る鴉,Magicienne d'Oz,Pollo Viola,Lila Huhn,La esquizofrenica,오즈의 마법사,นกเบียว,Faisal,galinha roxa,Фиолетовая Курочка,Chim lỏ,Purple Chicken,Kuş Beyin
ganyu,Goat,羊角姑娘,王小美,秘書,Coco-Chèvre,Capra,Ziege,Cococabra ,야자염소,กิเลนไวฟุ,Embek,gelo,Коза,Dê,Goat,Keçi 
gorou,Grr,柴犬,柴犬,柴犬大将,Grr,Grr,Grr,Grr,히나ts,หมาน้ำตาล,Guguk,Grr,Грр,Gâu gâu,Grr,Hav Hav
heizou,One Punch,一拳超人,一拳超人,ワンパンチ,One Punch,One Punch Boy,One Punch,One punch,명탐정 조난,กำหมัด,Bejo,um soco,Ван Панч,Conan,One Punch,Çıkışa Gel
hutao,Who?,核桃,核桃,葬儀屋少女,HooOooUuuu Tao,Chi?,Who?,Quien? Yo JSJSKA,국힙원탑,เต้าหู้,Lah siapa?,quem? perguntou ,Ху?,Hu?,Who?,Ha?
itto,Bullchucker,斗虫士,斗虫士,虫相撲の師匠,Vacheron,Lancia-tori,Kuhhirte,Toreritto,소몰이 청년,ยักษ์ซ่าบ้าระห่ำ,Jamal,toma uma chifrada,Бычок,Cắm sừng,Bullchucker,İt oğlu it
jean,Jen,蒲公英,蒲公英,蒲公英騎士,"JEANNE, AU SECOURS",Gina,Jen,Mamá Vientos,진간장,จีนดันโจว,Celana Jins,jennifer,Джинсы,Quần bò,Dżin,Sarı hindiba
kaeya,Ice Bridge,冰橋,冰桥,氷の足場,Pont de Glace,Ice Bridge,Eisbrücke,Puente de hielo,보트대행,ไก่ย่าง,Imron Knalpot,ponte de gelo,Ледяной Мост,Cầu băng,Kajak,Kayak
kazuha,Kazoo,雙跳,双跳,ござる系男子,Kazoo,Kazoo,Kazoo,Kazuelas,짭세라핌,คาสึห้ะ??,Juleha,drogado de erva,Казах,Kakaka,Kazoo,Kaz
keqing,Kequeen,紫色貓女,紫色猫女,猫耳ヘア,Kequeen,Kequeen,Kequeen,Kechingona,연보라 죽순,หน่อแมว,Ceking,kequeen,Кеквин,"""Mèo""",Kequeen,Kek
klee,Terror Tot,可愛的恐怖分子,可爱的恐怖分子,ボンバーガール,Enfant du Démon,Bombarola,Terror Kind,Niña explosiones,촉법 테러범,เด็กนรกระเบิดโลก,Tewowis,pequeno teeror,Клей,Loli khủng bố,Terror Tot,Sarışın Bomba
kokomi,Kokofish,觀賞魚,观赏鱼,観賞魚,Kokotruite,Kokopesce,Kokofisch,General pescadito,생선대가리,โคโคเปี่ยม,Cupang,peixe koko,Кокос,Mì tôm kokomi,Kokofish,Gulu gulu
kuki,Cookie,電忍者,电忍者,忍者,Cookie,Ninja arrabbiata,Cookie,Galletita,내가만든쿠키,คุกกี้ชิโนน่อน,Marni Cepret,biscoito,Куку,Gánh team,Cookie,Kovid
layla,Lala,睡不醒,睡不醒,睡眠不足,Étudiante en prépa,Pisola,Lala,Universitaria promedio,대학원생,เดินละเมอ,Lala Po,Lala,Ляля,Ngái ngủ,Lala,Lay Lay Lom
lisa,Purple Librarian,圖書管理員,图书管理员,図書館員,Bibliothécaire de ta région ,Bibliotecaria Viola,Lila Bibliothekarin,Mamá? ,귀염둥이,อาร่า อาร่า~,Mbak Pustakawati,luisa,Библиотекарша,Thủ thư lôi,Bibliotekarka,Lise
lumine,Loom,女孩,女孩,女主人公,Brillante,Lumina,Lum,Canon't,여행자,สาวลูม,Siti,Menina,Лмин,Lúa mì,Loom,Lamel
mika,Birdboy,菜鳥,菜鸟,鳥の男の子,Mikado,Birdboy,Vogeljunge,Birdboy,고산자 김정호,เบ๊เจ้แน่น,Parkit,Birdboy,Птицевод,Bé chim,Len,Civciv
mona,Puddle,水坑,水坑,貧乏占星術師,Flaque d'Eau,Pozzanghera,Pfütze,Morasn't,딜링주작단,แม่หมอ,Monaroh,poça magica ,Лужица,Nghèo kiết xác,Kałuża,Falcı
nahida,Nihido,小草,小草,裸足の神,Nihido,Raperonzola,Nihido,Lechuga con patas,셔틀콕,เทพคนไม่รัก,Gobes,Nihido,Нихида,Buẻ,Nihido,Nah
niceweapon,Nice Weapon,不錯的武器,不错的武器,素敵な武器,Bonne arme,Arma non male,Gute Waffe,Arma goood,좋은 무기,อาวุธโคตรโหดโคตรอันตราย,Senjata Apik,arma boa,ХОРОШЕЕ Оружие,Kiếm ngon,Nice Weapon,Güzel Silah
